City,Country,Latitude,Longitude,Monthly Salary,Other Monthly Income,Total Monthly Income,Meals Out,Groceries,Clothing,Transportation,Household,Internet,Leisure,Sports,Rent,Other Monthly Expenses,Total Monthly Expenses,Monthly Savings,Monthly Savings over Income,Montly Expenses over Income,Montlhy Rent over Income
's-Hertogenbosch,Netherlands,51.69,5.3,2466.27,0.0,2466.27,128.53,262.6,24.17,55.98,142.38,33.99,53.68,71.46,696.07,0.0,1482.16,984.11,39.9,60.1,28.22
Aachen,Germany,50.78,6.08,2609.11,0.0,2609.11,87.64,225.92,24.65,68.14,225.48,28.8,55.98,53.43,410.03,0.0,1189.17,1419.94,54.42,45.58,15.72
Aalborg,Denmark,57.05,9.92,3185.63,0.0,3185.63,153.25,291.72,25.12,52.38,187.84,29.31,91.99,70.69,502.01,0.0,1425.86,1759.78,55.24,44.76,15.76
Aarhus,Denmark,56.15,10.21,3195.44,0.0,3195.44,163.69,282.76,30.57,52.38,198.37,28.23,88.71,78.68,619.54,0.0,1560.38,1635.06,51.17,48.83,19.39
Aix-en-Provence,France,43.53,5.45,2365.67,0.0,2365.67,138.26,261.4,29.94,50.62,127.6,30.02,80.8,77.08,708.51,0.0,1530.98,834.69,35.28,64.72,29.95
Alicante,Spain,38.34,-0.49,1380.05,0.0,1380.05,94.25,178.24,18.56,34.07,126.5,29.64,44.24,51.59,535.44,0.0,1124.93,255.12,18.49,81.51,38.8
Almeria,Spain,36.84,-2.46,1630.65,0.0,1630.65,90.53,189.68,24.23,19.46,105.39,36.51,42.84,52.33,421.86,0.0,993.63,637.02,39.07,60.93,25.87
Amersfoort,Netherlands,52.16,5.41,3115.28,0.0,3115.28,125.6,274.12,23.8,109.04,170.37,36.35,68.41,69.76,892.4,0.0,1785.95,1329.33,42.67,57.33,28.65
Amsterdam,Netherlands,52.37,4.89,3377.16,0.0,3377.16,149.92,278.52,28.28,96.87,260.48,45.92,78.3,94.89,1426.8,0.0,2476.43,900.73,26.67,73.33,42.25
Ancona,Italy,43.48,13.22,1389.98,0.0,1389.98,116.85,282.6,23.01,34.07,153.36,27.59,65.02,103.6,413.75,0.0,1234.95,155.03,11.15,88.85,29.77
Annecy,France,45.9,6.13,2385.14,0.0,2385.14,175.26,359.64,38.2,29.2,156.48,29.2,90.31,71.55,649.82,0.0,1626.41,758.73,31.81,68.19,27.24
Antwerp,Belgium,51.22,4.4,2318.94,0.0,2318.94,143.13,236.76,27.08,47.7,192.93,48.68,62.26,86.39,650.64,0.0,1513.47,805.47,34.73,65.27,28.06
Arad,Romania,46.18,21.32,666.45,0.0,666.45,43.89,161.44,19.57,17.8,136.2,7.42,25.2,40.54,167.21,0.0,629.97,36.48,5.47,94.53,25.09
Arese,Italy,45.55,9.08,1442.04,0.0,1442.04,116.85,248.32,24.86,31.64,197.14,27.58,61.32,96.8,389.41,0.0,1214.18,227.86,15.8,84.2,27.0
Arnhem,Netherlands,52.01,5.88,2559.79,0.0,2559.79,114.88,259.04,22.9,97.35,152.43,37.72,67.16,47.47,803.16,0.0,1614.71,945.08,36.92,63.08,31.38
Athens,Greece,37.98,23.73,887.25,0.0,887.25,95.4,216.48,22.62,29.2,244.94,29.75,59.38,82.96,429.97,0.0,1228.4,0.0,0.0,138.45,48.46
Augsburg,Germany,48.37,10.9,2098.17,0.0,2098.17,105.13,220.72,26.59,59.15,221.23,31.77,49.63,67.03,546.79,0.0,1336.19,761.98,36.32,63.68,26.06
Aveiro,Portugal,40.64,-8.65,787.93,0.0,787.93,56.48,151.36,18.11,29.2,99.21,31.76,35.54,54.76,478.65,0.0,969.37,0.0,0.0,123.03,60.75
Bacau,Romania,46.42,26.72,468.09,0.0,468.09,67.24,144.64,20.68,12.36,137.55,8.66,21.3,50.43,216.88,0.0,690.19,0.0,0.0,147.45,46.33
Barcelona,Spain,41.38,2.18,1827.63,0.0,1827.63,112.93,212.68,23.04,38.94,157.84,37.09,49.17,87.55,786.32,0.0,1518.81,308.82,16.9,83.1,43.02
Bergamo,Italy,45.76,9.75,1655.0,0.0,1655.0,119.29,260.04,25.48,46.56,234.11,27.12,65.73,101.16,523.27,0.0,1421.36,233.64,14.12,85.88,31.62
Berlin,Germany,52.51,13.4,2917.64,0.0,2917.64,105.13,247.8,24.73,82.75,284.83,37.18,62.26,74.64,893.54,0.0,1825.41,1092.23,37.44,62.56,30.63
Bielefeld,Germany,52.02,8.53,2312.12,0.0,2312.12,82.77,250.96,23.17,87.62,281.47,28.39,57.41,76.24,724.06,0.0,1621.79,690.33,29.86,70.14,31.32
Bilbao,Spain,43.26,-2.94,1800.9,0.0,1800.9,102.23,237.44,26.08,38.94,121.99,32.45,44.78,69.06,754.48,0.0,1440.35,360.55,20.02,79.98,41.89
Bologna,Italy,44.49,11.34,1550.6,0.0,1550.6,131.92,254.08,23.77,34.56,212.3,27.56,65.02,100.34,571.42,0.0,1439.92,110.68,7.14,92.86,36.85
Bonn,Germany,50.74,7.1,2110.37,0.0,2110.37,126.58,247.04,23.85,107.09,263.29,33.31,61.57,77.43,571.14,0.0,1520.7,589.67,27.94,72.06,27.06
Bordeaux,France,44.84,-0.58,2295.25,0.0,2295.25,119.29,330.48,26.95,39.04,149.37,34.07,76.44,61.16,590.2,0.0,1455.45,839.8,36.59,63.41,25.71
Braga,Portugal,41.55,-8.43,946.66,0.0,946.66,60.36,163.28,17.6,25.31,94.82,30.72,35.11,50.81,433.22,0.0,922.79,23.87,2.52,97.48,45.76
Brasov,Romania,45.65,25.61,653.39,0.0,653.39,58.33,154.88,21.76,16.81,115.96,8.75,32.76,57.52,283.86,0.0,761.08,0.0,0.0,116.48,43.44
Bratislava,Slovakia,48.15,17.11,1181.92,0.0,1181.92,74.97,202.0,21.43,29.2,202.49,18.51,39.72,56.92,477.94,0.0,1134.73,47.19,3.99,96.01,40.44
Breda,Netherlands,51.59,4.78,4069.35,0.0,4069.35,135.33,273.24,23.39,125.1,173.25,42.25,68.15,34.56,890.78,0.0,1780.0,2289.35,56.26,43.74,21.89
Bremen,Germany,53.08,8.81,2125.46,0.0,2125.46,95.4,253.72,23.68,66.0,205.36,34.07,55.48,48.31,465.9,0.0,1258.42,867.04,40.79,59.21,21.92
Brescia,Italy,45.78,10.43,1429.87,0.0,1429.87,114.89,259.16,20.57,34.56,222.77,27.15,72.06,81.65,697.69,0.0,1547.25,0.0,0.0,108.21,48.79
Brno,Czech Republic,49.19,16.61,1326.74,0.0,1326.74,60.78,178.88,23.39,21.98,218.69,20.93,34.98,64.31,514.22,0.0,1148.31,178.43,13.45,86.55,38.76
Bruges,Belgium,51.21,3.23,1947.05,0.0,1947.05,129.02,223.2,22.76,19.47,159.19,42.59,54.05,49.64,559.77,0.0,1273.94,673.11,34.57,65.43,28.75
Brussels,Belgium,50.85,4.35,2585.0,0.0,2585.0,126.58,269.36,25.41,48.68,191.98,47.88,72.06,73.61,750.91,0.0,1632.07,952.93,36.86,63.14,29.05
Bucharest,Romania,44.44,26.1,876.63,0.0,876.63,79.12,165.24,21.46,15.83,109.84,7.73,35.59,75.73,310.61,0.0,831.8,44.83,5.11,94.89,35.43
Budapest,Hungary,47.48,19.15,900.3,0.0,900.3,66.03,176.76,20.0,22.57,142.31,11.84,29.92,61.8,348.74,0.0,890.72,9.57,1.06,98.94,38.74
Burgas,Bulgaria,42.5,27.35,645.17,0.0,645.17,59.22,158.48,17.71,22.21,87.49,9.51,28.54,40.48,225.98,0.0,657.92,0.0,0.0,101.98,35.03
Bydgoszcz,Poland,53.12,18.0,766.24,0.0,766.24,66.64,164.6,24.65,23.95,270.66,13.12,40.74,55.3,381.98,0.0,1053.14,0.0,0.0,137.44,49.85
Cagliari,Italy,39.22,9.11,1383.8,0.0,1383.8,116.85,247.76,25.3,33.58,205.33,25.79,54.48,85.34,408.88,0.0,1218.91,164.89,11.92,88.08,29.55
Cartagena,Spain,37.62,-0.99,1713.41,0.0,1713.41,77.9,140.04,14.56,19.47,98.33,34.24,35.54,59.54,340.73,0.0,831.3,882.11,51.48,48.52,19.89
Cascais,Portugal,38.7,-9.42,1051.4,0.0,1051.4,87.64,160.68,19.38,38.94,123.93,34.83,37.99,61.34,700.11,0.0,1279.39,0.0,0.0,121.68,66.59
Catania,Italy,37.5,15.09,1022.2,0.0,1022.2,95.4,199.08,21.26,29.2,163.87,27.01,50.88,69.62,324.51,0.0,996.18,26.02,2.55,97.45,31.75
Chania,Greece,35.51,24.02,760.57,0.0,760.57,97.36,185.32,22.16,48.68,131.65,36.14,56.24,93.08,377.25,0.0,1071.88,0.0,0.0,140.93,49.6
Cluj-Napoca,Romania,46.77,23.59,807.03,0.0,807.03,62.52,167.32,20.67,18.29,136.36,7.76,35.61,66.61,294.77,0.0,820.76,0.0,0.0,101.7,36.53
Coimbra,Portugal,40.21,-8.43,827.49,0.0,827.49,65.23,154.48,18.8,29.2,92.5,33.78,30.19,55.05,369.94,0.0,866.82,0.0,0.0,104.75,44.71
Cologne,Germany,50.94,6.96,2291.45,0.0,2291.45,101.75,234.16,24.2,93.46,258.43,32.7,54.56,85.79,647.11,0.0,1544.76,746.69,32.59,67.41,28.24
Como,Italy,45.94,9.15,1557.64,0.0,1557.64,143.13,318.36,30.69,31.39,180.66,25.96,66.86,70.87,511.1,0.0,1400.92,156.72,10.06,89.94,32.81
Copenhagen,Denmark,55.69,12.57,3390.84,0.0,3390.84,178.13,286.12,33.11,68.1,187.84,34.45,96.74,79.64,1210.19,0.0,2192.87,1197.97,35.33,64.67,35.69
Cork,Ireland,51.9,-8.47,2662.07,0.0,2662.07,131.45,205.56,22.09,78.85,163.53,48.6,71.07,88.53,1093.6,0.0,1931.93,730.14,27.43,72.57,41.08
Craiova,Romania,44.32,23.8,594.38,0.0,594.38,52.39,133.68,17.28,19.78,180.06,8.19,27.71,44.18,194.57,0.0,688.54,0.0,0.0,115.84,32.73
Debrecen,Hungary,47.53,21.63,662.24,0.0,662.24,56.55,137.04,18.83,17.58,101.3,10.48,21.35,40.84,237.54,0.0,650.06,12.18,1.84,98.16,35.87
Delft,Netherlands,52.0,4.36,2813.53,0.0,2813.53,91.52,267.6,24.18,50.62,215.19,39.08,68.41,58.73,613.32,0.0,1442.95,1370.58,48.71,51.29,21.8
Dresden,Germany,51.05,13.74,2383.2,0.0,2383.2,82.77,198.4,26.57,61.92,230.38,30.4,53.58,75.24,429.97,0.0,1198.23,1184.97,49.72,50.28,18.04
Dublin,Ireland,53.35,-6.26,2935.33,0.0,2935.33,155.76,244.4,24.48,116.82,216.51,54.64,83.66,80.34,1629.54,0.0,2635.64,299.68,10.21,89.79,55.51
Dubrovnik,Croatia,42.65,18.09,828.18,0.0,828.18,100.0,175.4,21.14,45.14,216.83,22.52,41.27,81.25,356.41,0.0,1073.51,0.0,0.0,129.62,43.04
Dusseldorf,Germany,51.23,6.78,2998.36,0.0,2998.36,97.85,257.8,26.4,77.88,200.87,29.59,64.71,70.51,719.19,0.0,1554.05,1444.31,48.17,51.83,23.99
Eindhoven,Netherlands,51.44,5.48,3294.72,0.0,3294.72,120.73,262.52,21.42,97.35,200.82,39.13,69.61,71.5,918.6,0.0,1818.58,1476.14,44.8,55.2,27.88
Enschede,Netherlands,52.22,6.87,2933.56,0.0,2933.56,116.85,271.52,27.42,55.01,189.79,42.83,67.89,37.31,773.41,0.0,1596.14,1337.42,45.59,54.41,26.36
Erlangen,Germany,49.59,10.98,3334.91,0.0,3334.91,93.97,270.48,25.02,55.68,228.68,29.08,57.46,57.43,519.22,0.0,1346.97,1987.94,59.61,40.39,15.57
Espoo,Finland,60.2,24.66,2794.67,0.0,2794.67,155.79,312.64,30.3,60.36,102.3,14.94,107.12,101.72,806.76,0.0,1726.64,1068.04,38.22,61.78,28.87
Florence,Italy,43.77,11.26,1377.54,0.0,1377.54,116.85,283.24,24.59,34.07,209.79,28.68,60.36,89.94,602.37,0.0,1466.19,0.0,0.0,106.44,43.73
Frankfurt,Germany,50.11,8.68,3109.42,0.0,3109.42,112.93,246.0,27.26,90.63,315.74,35.71,60.36,83.7,838.26,0.0,1820.69,1288.73,41.45,58.55,26.96
Freiburg im Breisgau,Germany,48.0,7.85,2513.32,0.0,2513.32,102.24,239.4,28.99,62.31,249.44,30.59,60.84,72.77,654.09,0.0,1514.12,999.2,39.76,60.24,26.02
Funchal,Portugal,32.65,-16.91,1007.6,0.0,1007.6,65.23,144.6,18.97,34.07,75.35,31.15,36.67,78.86,600.34,0.0,1101.19,0.0,0.0,109.29,59.58
Galway,Ireland,53.27,-9.05,2248.4,0.0,2248.4,125.13,236.96,19.93,58.41,169.98,46.73,74.51,61.93,1031.05,0.0,1851.83,396.57,17.64,82.36,45.86
Gdynia,Poland,54.52,18.6,882.33,0.0,882.33,64.96,148.84,21.41,20.82,184.71,11.02,35.3,61.3,451.14,0.0,1008.85,0.0,0.0,114.34,51.13
Genoa,Italy,44.41,8.93,1305.75,0.0,1305.75,116.85,281.44,25.66,44.78,140.07,28.7,65.74,86.87,453.67,0.0,1264.92,40.83,3.13,96.87,34.74
Gothenburg,Sweden,57.71,11.97,2570.25,0.0,2570.25,96.64,252.72,25.46,72.92,108.21,27.95,87.19,72.99,704.85,0.0,1466.33,1103.92,42.95,57.05,27.42
Granada,Spain,37.17,-3.6,1721.92,0.0,1721.92,87.64,194.92,20.55,38.94,105.1,36.91,39.78,64.04,438.09,0.0,1040.67,681.25,39.56,60.44,25.44
Graz,Austria,47.07,15.44,2147.53,0.0,2147.53,98.82,298.8,29.06,52.67,230.86,32.68,67.62,74.72,507.21,0.0,1405.84,741.69,34.54,65.46,23.62
Grenoble,France,45.19,5.74,1898.37,0.0,1898.37,101.28,306.12,25.05,58.41,155.37,31.37,69.38,56.5,467.29,0.0,1292.77,605.6,31.9,68.1,24.62
Groningen,Netherlands,53.22,6.57,2122.28,0.0,2122.28,136.32,270.8,24.05,87.62,251.15,40.7,62.31,59.69,619.71,0.0,1563.25,559.03,26.34,73.66,29.2
Gzira,Malta,35.91,14.5,1277.75,0.0,1277.75,145.57,281.32,27.9,31.64,113.8,35.23,52.56,119.22,757.19,0.0,1587.28,0.0,0.0,124.22,59.26
Haarlem,Netherlands,52.39,4.64,2601.25,0.0,2601.25,133.88,272.8,35.06,106.12,257.1,47.27,70.81,64.92,1173.97,0.0,2176.03,425.22,16.35,83.65,45.13
Hamburg,Germany,53.55,10.0,2923.16,0.0,2923.16,112.93,243.12,30.57,89.56,265.28,34.88,70.57,109.31,780.36,0.0,1746.53,1176.63,40.25,59.75,26.7
Heidelberg,Germany,49.41,8.69,2877.31,0.0,2877.31,114.42,220.4,26.45,77.88,266.01,36.33,62.81,83.94,679.7,0.0,1580.99,1296.32,45.05,54.95,23.62
Helsinki,Finland,60.17,24.94,2655.81,0.0,2655.81,128.52,274.88,27.2,63.28,100.54,21.11,102.27,106.2,777.98,0.0,1629.03,1026.78,38.66,61.34,29.29
Ingolstadt,Germany,48.76,11.43,2847.56,0.0,2847.56,101.25,253.2,22.26,56.95,213.23,43.81,70.37,94.11,681.14,0.0,1544.97,1302.59,45.74,54.26,23.92
Innsbruck,Austria,47.27,11.39,1815.69,0.0,1815.69,119.29,254.64,27.14,48.68,237.88,35.03,65.72,93.79,719.33,0.0,1611.75,203.94,11.23,88.77,39.62
Ioannina,Greece,39.66,20.85,671.73,0.0,671.73,68.16,200.92,20.65,34.07,224.36,27.62,53.53,84.56,275.37,0.0,1009.64,0.0,0.0,150.3,40.99
Karlsruhe,Germany,49.01,8.4,2673.51,0.0,2673.51,101.25,264.12,28.09,65.23,219.84,35.8,56.93,98.46,602.37,0.0,1480.89,1192.62,44.61,55.39,22.53
Katowice,Poland,50.26,19.02,963.01,0.0,963.01,56.24,147.64,17.4,32.17,210.76,13.25,30.8,44.03,342.33,0.0,902.32,60.69,6.3,93.7,35.55
Kaunas,Lithuania,54.9,23.9,1058.86,0.0,1058.86,78.88,182.36,19.92,27.25,161.21,12.17,52.08,66.34,315.32,0.0,928.58,130.28,12.3,87.7,29.78
Kavala,Greece,40.94,24.41,657.13,0.0,657.13,107.12,212.44,21.26,53.55,197.95,31.08,52.08,89.25,276.76,0.0,1057.29,0.0,0.0,160.89,42.12
Kiel,Germany,54.32,10.14,2287.79,0.0,2287.79,90.72,204.0,27.02,59.39,207.69,30.17,56.96,66.52,451.72,0.0,1202.59,1085.2,47.43,52.57,19.74
Kranj,Slovenia,46.24,14.35,1066.66,0.0,1066.66,64.24,210.04,22.45,29.2,234.5,36.51,37.19,68.34,299.36,0.0,1015.03,51.63,4.84,95.16,28.07
Lagos,Portugal,37.1,-8.67,853.0,0.0,853.0,89.57,164.92,17.24,38.94,94.11,38.94,36.0,77.5,662.0,0.0,1239.12,0.0,0.0,145.27,77.61
Larnaca,Cyprus,34.92,33.62,1199.21,0.0,1199.21,107.12,231.92,24.84,38.94,189.42,34.06,64.71,133.28,570.64,0.0,1414.53,0.0,0.0,117.96,47.58
Leiden,Netherlands,52.16,4.49,3001.71,0.0,3001.71,116.85,269.28,29.51,48.68,182.57,50.62,66.2,87.6,1034.37,0.0,1900.13,1101.58,36.7,63.3,34.46
Leipzig,Germany,51.34,12.37,2061.45,0.0,2061.45,83.72,212.2,21.2,78.85,220.72,36.37,55.98,85.55,375.35,0.0,1179.59,881.86,42.78,57.22,18.21
Leiria,Portugal,39.74,-8.81,1375.11,0.0,1375.11,64.24,135.92,16.07,12.2,165.5,30.51,33.42,72.04,554.91,0.0,1094.41,280.7,20.41,79.59,40.35
